1097,LXU,1
1098,PEG,1
1099,R,1
1100,UNP,1
1101,BIO,1
1102,MDC,1
1103,CAJ,1
1104,CAS,1
1105,HMC,1
1106,IIN,1
1107,INTC,1
1108,PW,1
1109,RAVN,1
1110,ROG,1
1111,SEB,1
1112,SIF,1
1113,SIEB,1
1114,BTI,1
1115,MUX,1
1116,ENZ,1
1117,ABEO,1
1118,HP,1
1119,CSX,1
1120,CBT,1
1121,PSA,1
1122,NKE,1
1123,AAPL,1
1124,AJRD,1
1125,KATE,1
1126,SFY,0
1127,HD,1
1128,BAX,1
1129,BC,1
1130,COP,1
1131,CSC,1
1132,DBD,1
1133,GLW,1
1134,HRS,1
1135,HUM,1
1136,IFF,1
1137,MDT,1
1138,NOC,1
1139,OXY,1
1140,ROK,1
1141,RTN,1
1142,SKY,1
1143,SLB,1
1144,SO,1
1145,WMB,1
1146,GRA,1
1147,JCP,1
1148,LPX,1
1149,MAT,1
1150,NBL,1
1151,NVO,1
1152,TEN,1
1153,THC,1
1154,VLO,1
1155,FSS,1
1156,CI,1
1157,SSL,1
1158,NSC,1
1159,BCE,1
1160,MDR,1
1161,ALK,1
1162,AMD,1
1163,CLX,1
1164,ADM,1
1165,ABT,1
1166,ADP,1
1167,AFG,1
1168,APD,1
1169,ASH,1
1170,BCR,1
1171,BDX,1
1172,DUK,1
1173,GPC,1
1174,HES,1
1175,HRG,1
1176,HST,1
1177,MUR,1
1178,NEM,1
1179,NL,1
1180,PKD,1
1181,PKI,1
1182,PPG,1
1183,RDC,1
1184,TGT,1
1185,TSO,1
1186,TY,1
1187,DNB,1
1188,GIS,1
1189,MAS,1
1190,NEE,1
1191,WHR,1
1192,SF,1
1193,FEIM,1
1194,NUE,1
1195,CASY,1
1196,VZ,1
1197,RBC,1
1198,ATO,1
1199,AVY,1
1200,BAM,1
1201,COO,1
1202,CP,1
1203,JPM,1
1204,MENT,1
1205,AIRT,1
1206,GLT,1
1207,WSO,1
1208,ABM,1
1209,ADI,1
1210,ADX,1
1211,AFL,1
1212,AIR,1
1213,ALX,1
1214,AME,1
1215,AP,1
1216,ARW,1
1217,AXE,1
1218,EGN,1
1219,NWL,1
1220,PNW,1
1221,T,1
1222,Y,1
1223,PNM,1
1224,ES,1
1225,BOBE,1
1226,AAME,1
1227,AAN,1
1228,ACU,1
1229,ACXM,1
1230,AE,1
1231,AEM,1
1232,AIG,1
1233,AIT,1
1234,AJG,1
1235,ALOG,1
1236,ALOT,1
1237,AMAT,1
1238,AMGN,1
1239,AMS,1
1240,AMSWA,1
1241,ANAT,1
1242,AON,1
1243,AOS,1
1244,ARL,1
1245,AROW,1
1246,ARTW,1
1247,ASB,1
1248,ASEI,0
1249,ASYS,1
1250,ATRI,1
1251,ATRO,1
1252,ATW,1
1253,AZZ,1
1254,B,1
1255,BCV,1
1256,BDL,1
1257,BELFA,1
1258,BEN,1
1259,BGG,1
1260,BKH,1
1261,BLL,1
1262,BMI,1
1263,BMS,1
1264,BOH,1
1265,BRC,1
1266,BRID,1
1267,BRN,1
1268,BSET,1
1269,CA,1
1270,CACI,1
1271,CAG,1
1272,CAL,1
1273,CAMP,1
1274,CAW,1
1275,CB,1
1276,CBRL,1
1277,CBSH,1
1278,CSI,1
1279,MTRN,1
1280,RWC,1
1281,SPEX,1
1282,SWKS,1
1283,TAP,1
1284,WRB,1
1285,D,1
1286,LNC,1
1287,NI,1
1288,TXT,1
1289,WEC,1
1290,TE,0
1291,CR,1
1292,WGO,1
1293,S,1
1294,BT,1
1295,CVS,1
1296,GWW,1
1297,K,1
1298,KMB,1
1299,RAD,1
1300,CCK,1
1301,CMI,1
1302,HAS,1
1303,WWW,1
1304,CMS,1
1305,ABX,1
1306,HL,1
1307,JCI,1
1308,PPL,1
1309,BBY,1
1310,UN,1
1311,SON,1
1312,BIG,1
1313,ADSK,1
1314,AEG,1
1315,CPB,1
1316,DOV,1
1317,FMC,1
1318,GAM,1
